msg,Class,notice,vaccine,route,infected,disaster,missing
[영동군청] 오늘 21:30 기준 추가 확진자 4명 발생. 확진자의 밀접 접촉자로 이동동선파악중입니다. 타 지역방문 자제 및 유증상시 선별진료소에서 검사바랍니다.,3,0,0,0,1,0,0
[정읍시청]7.21(수)21시기준 확진자1명(정읍102번)발생/역학조사 후 세부내용은 카카오톡채널 업데이트예정 https://pf.kakao.com/_axcMvK,3,0,0,0,1,0,0
"[함양군청] 7.21.(수) 확진자 2명 발생 
 ▷이동동선 추적 및 접촉자 검사중
 ▷타지역 방문 및 사적모임을 자제하시고
 ▷방역수칙을 철저히 준수바랍니다.",3,0,0,0,1,0,0
[부산시]7.14(수)~7.18(일)06:30~19:30/20(화)06:30~10시 녹천탕(동래구 금강공원로26번길 32)남탕방문자 보건소검사바랍니다.(소독완료),2,0,0,1,0,0,0
[부산시] 7.13.(화)20:20~21:30/ 7.14.(수)19시~20:30/7.15.(목)20시~21:50 옥스피씨방 하단역점 방문자보건소 검사바랍니다.,2,0,0,1,0,0,0
"[고양시청]7.15.(목)~7.19.(월) 스마일마사지(덕양구 통일로 345,4층)방문자 중 코로나 유증상자는 가까운 보건소에서 코로나 검사를 받으시기 바랍니다.",2,0,0,1,0,0,0
"[의정부시청]7월21일 18시 기준, 일일확진자 15명 발생(1845~1859번) 홈페이지 및 블로그 https://c11.kr/joao 참고 바랍니다.",3,0,0,0,1,0,0
"[완도군청]안심숙소에서 7월12일부터 격리중인 금일읍 외국인 1명 추가확진. 이동동선 없음, 코로나예방접종 55세~59세/50~54세 7.24일18시까지 예약.",3,0,0,0,1,0,0
[대전경찰청] 시민 여러분의 관심과 제보로 경찰은 실종된 배민준씨를 안전하게 발견했습니다. 감사합니다.,5,0,0,0,0,0,1
"[문경시청] 7.21.(수) 18시 기준 확진자 3명 발생(38, 39, 40번). 이동동선 및 자세한 내용은 문경시청 홈페이지를 참고하시기 바랍니다.",3,0,0,0,1,0,0
[영주시청] 67~71년생 예방접종 사전 예약 안내▲7/21 20시~7/24 18시▲인터넷 https://ncvr.kdca.go.kr ▲전국콜센터 1339,1,0,1,0,0,0,0
"[이천시청] 7월 21일 확진자 6명 발생(자가격리3, 유증상개별검사2, 확진자접촉1), 자세한 사항은 홈페이지(icheon.go.kr) 및 블로그 참조바랍니다.",3,0,0,0,1,0,0
"[남양주시청] 7.21.(수) 남양주시 주민 21명 코로나19 확진. 방역사항은 홈페이지, 블로그 참고바랍니다. c11.kr/qpxh",3,0,0,0,1,0,0
"[원주시청] 7.19~20. ‘SC제일은행 원주지원출장소(시청로149, 춘천지방법원 원주지원 내)’이용자는 오늘 20시까지 보건소 선별진료소에서 검사받으세요.",2,0,0,1,0,0,0
[보령시청]7월21일(수) 18:20기준 보령시 신규확진자 1명 발생(보령시 173번 접촉자)자세한 사항은 vo.la/onM84 참고바랍니다.,3,0,0,0,1,0,0
[평택시]7.2(금) ~ 7.21(수) 명품노래방(평택시 안중읍 안현로서2길 9)방문자는 가까운 선별진료소에서 코로나 검사를 받으시길 바랍니다.,2,0,0,1,0,0,0
"[칠곡군청] ▲경상북도 추가방역 조치▲ 7. 22. 0시부터 8. 1. 24시까지 정규 공연시설(영화관, 공연장) 외 공연 및 집합이 금지됨을 알려드립니다.",0,1,0,0,0,0,0
"[경기북부경찰청] 고양시에서 실종된 이경원씨(남, 81세)를 찾습니다 - 170cm, 65kg, 검정자켓, 검정바지, 뿔테안경
 vo.la/UH1Y8 / ☎182",5,0,0,0,0,0,1
"[무주군청]무주군 전지역 폭염 경계단계 발효, 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다.",4,0,0,0,0,1,0
[태안군청] 7.21.(수)18시 기준 확진자 2명 발생(태안79~80번/자가격리중확진2)▲5인이상사적모임금지▲타지역거주자접촉자제▲개인방역수칙준수,3,0,0,0,1,0,0
"[화성시청] 7월21일 18시 현재, 확진자 19명(화성 1997~2015번) 발생하였습니다. 상세내용은 hscity.go.kr/crn.do 참조",3,0,0,0,1,0,0
"[화순군청] 62~71년생 예방접종 사전예약 안내 7.21(수) 20시~7.24(토) 18시 ▶온라인, 콜센터 1339, 보건소 379-5300/5991~5994",1,0,1,0,0,0,0
"[대전광역시] 오늘 18시 기준, 54명 추가 발생.(동6, 중4, 서32, 유성8, 대덕4). 자세한 사항은 홈페이지 참조.
 (참고)어제 하루 총 73명 발생.",3,0,0,0,1,0,0
[남원시청] 67~71년생 코로나19접종사전예약▲7.21일20시~7.24일18시▲온라인 ncvr.kdca.go.kr 및 전화(09~18시/625-1339/읍면동),1,0,1,0,0,0,0
"[부천시청] 7월 21일(수) 18:00기준 코로나19확진자 26명 발생, 세부내용은 블로그 참조하시기 바랍니다
 blog.naver.com/bucheon-city",3,0,0,0,1,0,0
"[논산시청] 7월 21일 18시 기준 확진자 2명(논산 216,217번/육군훈련소 2명)발생. 자세한 내용은 시청 홈페이지 및 SNS 참고바랍니다.",3,0,0,0,1,0,0
"[마포구청]폭염피해 예방을 위해 선별진료소, 임시선별검사소(서강, 홍익)에 
 점심·소독시간을 13시~15시까지 변경, 운영함을 알려드립니다.(7.22~8.31)",4,0,0,0,0,1,0
"[마포구청]폭염피해 예방을 위해 선별진료소, 임시선별검사소(서강, 홍익)에 
 점심·소독시간을 13시~15시까지 변경, 운영함을 알려드립니다.(7.22~8.31)",4,0,0,0,0,1,0
"[안성시청]7.21. 18시기준 코로나19확진자2명(확진자접촉1,해외입국1)발생 역학조사, 방역조치 완료
 
 anseong.go.kr/corona_index.jsp",3,0,0,0,1,0,0
"[영광군청]62~71년생 접종 미예약자 7.21.20시~7.24.18시 인터넷,보건소(350-4775,5650)에서 예약가능▲다중이용시설에서 발열체크, 명부 작성",1,0,1,0,0,0,0
"[노원구청] 7.22(목)~8.6(금) 폭염기간동안 임시선별검사소(노원구청, 구민회관) 운영시간 변경 안내. 9시~17시 운영(폭염으로 12~14시 운영 중단).",0,1,0,0,0,0,0
"[김해시청] 7. 21.(수) 확진자 25명 발생(김해1183~1207), 김해유흥관련3, 관내확진자접촉13, 관외확진자접촉4, 조사중5 / 역학조사 및 소독완료",3,0,0,0,1,0,0
"[해남군청]백신접종예약안내▲50대(미예약자):21일20시~24일18시▲인터넷누리집,보건소콜센터(531-3994,3995,3997,3715,3764,3787)",1,0,1,0,0,0,0
"[충주시청] 7월21일, 확진자4명발생(감염경로 조사중3,타지역 접촉자1). 동선 https://pf.kakao.com/_MxhIjT/82179760 참고바랍니다",3,0,0,0,1,0,0
[정선군청](주소 정정) 7.19(월) 12:00~12:50 정선읍 평화반점(봉양6길 38) 1층 홀을 이용하신 분은 정선군보건소(9시~16시)에서 검사바랍니다.,2,0,0,1,0,0,0
"[평택시]확진자22명(관내12,관외3(서울1진천1오산1),해외입국1,조사중6)발생.상세사항 평택시홈페이지 참고☞ www.pyeongtaek.go.kr/route",3,0,0,0,1,0,0
"[원주시청] 7.19~20.‘뷰티니스짐 5호점(지정면 무릉로35-1, 3층)’ 이용자는 오늘18:30~20:30 원주의료기기테크노밸리 건물 뒤편에서 검사받으세요.",2,0,0,1,0,0,0
"[금산군청] 우리군 현재 폭염경보 발효중. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",4,0,0,0,0,1,0
"[연천군청] 7월 21일 코로나19 18시 기준 일일 확진자 발생 1명(연천군민 101번), 관련정보는 블로그 참조 바랍니다. url.kr/3euxdv",3,0,0,0,1,0,0
[산청군청] 7월13일(화) 18:50 삼장홍계⇒19:17분 시천⇒진주 시외버스 탑승객은 가까운 선별진료소에서 검사받으시기 바랍니다.,2,0,0,1,0,0,0
"[광주광역시] 7.15.(목) 22:40~23:45 역전할머니맥주 광천유탑점(서구 내방로 349, 1층)을 방문하신 분은 거주지 보건소에서 검사받으시기 바랍니다",2,0,0,1,0,0,0
[정선군청]7.19(월) 12:00~12:50 정선읍 평화반점(5일장길 37-5) 1층 홀을 이용하신 분은 정선군보건소 선별진료소(9시~16시)에서 검사바랍니다.,2,0,0,1,0,0,0
[구리시청] 7. 21.(수) 확진자 6명(타지역 주민 1명) 발생. 코로나19 확산방지를 위해 외출과 사적모임 자제를 부탁드립니다 bit.ly/3eGbqWW,3,0,0,0,1,0,0
"[광주광역시] 7.15(목)10시~18시, 7.16(금)10시~18시 꿈이룸1호점(서구 상무중앙로 84, 1층)을 방문하신 분은 거주지 보건소에서 검사 바랍니다.",2,0,0,1,0,0,0
[단양군청] 7.20.(화) 09:30경 단양군 보건소 주차장에서 sm5 회색 승용차량의 주차를 도와주신 분(여성)은 단양군 보건소로 연락 바랍니다.,0,1,0,0,0,0,0
[영주시청] 7.15(목)12:00~12:30 공화춘 이용하신 분은 보건소에서 코로나19 검사 받으시기 바랍니다. 선별진료소 운영시간(09:00~18:00),2,0,0,1,0,0,0
"[김포시청] 7월 21일 17시 기준, 코로나19 확진자 11명 발생/ 세부사항은 김포시 블로그를 참조하시기 바랍니다. vo.la/RNScn",3,0,0,0,1,0,0
"[진주시청]사회적 거리두기 2단계 이상 시 민간선별진료소(고려,반도,복음,세란,제일,한일병원) 코로나19 무료 검사 실시. 평일 09시~16시, 토 09시~12시",0,1,0,0,0,0,0
"[거제시청]<폭염대비 거제시체육관선별진료소 시간변경안내>기간: 7월1일~8월31일/운영시간 9:30~12:30,14:30~17:30/정비시간 12:30~14:30",4,0,0,0,0,1,0
[과천시청] 7월 21일(수) 17시 기준 신규 확진자 1명 발생. 상세내용은 시홈페이지 및 과천마당앱 등에서 참고하시기 바랍니다. www.gccity.go.kr,3,0,0,0,1,0,0
"[안산시청]7월21일17시기준 확진자 17명발생, 상세내용은 시홈페이지, 블로그 참조바랍니다. blog.naver.com/cityansan/222439579889",3,0,0,0,1,0,0
